Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
what are design patterns and list them,,,,,,,
constructor,,,,,,,
constructor overloading,,,,,,,
java program on linkedlist,,,,,,,
java program on array,,,,,,,
asked me to show the project ,,,,,,,
different databases used in project,,,,,,,
Tell me about yourself,,,,,,,
"Work experience, responsibilities",,,,,,,
How did you decide to come in IT industry after graduating from B.Tech ECE,,,,,,,
"Explain Stackroute product and areas you worked on, show working of product",,,,,,,
Testing few apis from the product,,,,,,,
How comfortable are you with Data Structure,,,,,,,
Code - Fibonacci series,,,,,,,
Exception handling,,,,,,,
Tell me about your self,,,,,,,
*Explain project,,,,,,,
*Some questions related to project like your project is already implemented by outlook why I need to use your application? ,,,,,,,
*Reverse elements in linkedlist,,,,,,,
*What is normalization in SQL?,,,,,,,
*How many types in normalization?,,,,,,,
*Explain Inheritance in Java with example.,,,,,,,
*Write a code for balanced parentheses.,,,,,,,
*Write an SQL query for second largest element in a table. ,,,,,,,
Asked many Questions On Oops (no textbook answer asked to give real life examples),,,,,,,
"Inheritance, Data abstraction, Encapsulation, and Asked Questions on data structures",,,,,,,
Puzzle que ,,,,,,,
Person A and Person B have to cover 100mtr distance with 3 rounds,,,,,,,
Person A takes 9 min for one round and 2min rest after every round,,,,,,,
Person B takes 10 min for one round and no break,,,,,,,
Who will take less time,,,,,,,
Tell me about your education ,,,,,,,
Tell me about your mini project in Java at the end of 7th week.,,,,,,,
"Write a program to print fibonacci series until a given number. (Eg. Given a number 500, the last element of the fibonacci series should be <= 500) ",,,,,,,
Explain briefly about Encapsulation in Java OOPS.,,,,,,,
"Show the frontend/ui of your capstone project (at least a pic/screen recording of the web page, if the application isn't currently running on computer)",,,,,,,
What contribution have you made in the capstone project,,,,,,,
What databases have you worked on during project,,,,,,,
What is the major difference b/w mysql and Mongo databases,,,,,,,
What are foreign keys in mysql,,,,,,,
"If you get to learn a new technology in web development, right now, what technology/technologies would you choose to learn?",,,,,,,
Tellme about yourself ,,,,,,,
Write a query for top10 salarys of an employee,,,,,,,
Write a query for 2nd highest salary of an employee ?,,,,,,,
"What are interfaces,why should we use in java ?",,,,,,,
What is polymorphism.Explain with examples ?,,,,,,,
String reversal program ?,,,,,,,
"Given 2 empty jugs,one is 3lit and another 5lit capacity provided with unlimited water",,,,,,,
Form both the jugs but outcome should be 4lit.,,,,,,,
Final year project explaination?,,,,,,,
Q2. In between 1and 100 there are 99 numbers I want you to find the missing number in between one to 100,,,,,,,
1.Tell me about your self,,,,,,,
2.Explain Your project,,,,,,,
3.How do you measure time complexity and space complexity in Data structures Algorithm.,,,,,,,
4.What is Exceptional Handling?,,,,,,,
5.Questions on Project dependencies,,,,,,,
6.Write a program on Fibonacci series from 1 to 1000,,,,,,,
7.Write a program on Fibonacci  series using Methods,,,,,,,
8.What are joins in SQL?,,,,,,,
Introduce about yourself,,,,,,,
Will be able to work on rotational shifts and will you be able to extend your working hours if required,,,,,,,
"Write a query to display the employee's first name, last name, salary, designation from the given 2 tables",,,,,,,
Do you know anything about the company,,,,,,,
What are principles of oops ,,,,,,,
What are access specifers and explain,,,,,,,
What is exception handling,,,,,,,
Try catch throw throws finally blocks,,,,,,,
Class and object,,,,,,,
Constructor,,,,,,,
Print prime numbers from 1 to 100,,,,,,,
Reverse of string in program,,,,,,,
What is inheritance,,,,,,,
What is function overriding,,,,,,,
What is encapsulation,,,,,,,
Give real time example for function overriding,,,,,,,
Puzzle question,,,,,,,
Two buckets of water with one 5 liters and one 3 liters we have to measure 4 liters of water using 2 buckets. ,,,,,,,
…………………….,,,,,,,
1.tell me  about your self,,,,,,,
2.question on sql,,,,,,,
What is DML ?,,,,,,,
2.What are the statements in DML ?,,,,,,,
What are the joints?,,,,,,,
What is left joint ?,,,,,,,
Write a query for given table?,,,,,,,
6.write a query which having a salary of above 5000?,,,,,,,
7.write a quey which a employee name having a starting letter with P?,,,,,,,
Java questions,,,,,,,
What is polymorphism,,,,,,,
What is abstract,,,,,,,
What is the difference between linkedlist and Arraylist?,,,,,,,
What is call back value and call back reference?,,,,,,,
Write a program on reverse string?,,,,,,,
What is a object,,,,,,,
Puzzle question,,,,,,,
"1.Four friends A, B, C and D need to cross a bridge. A maximum of two persons can cross it at a time. It is night and they just have one lamp. Persons that cross the bridge must carry the lamp to find the way.",,,,,,,
Tell me about yourself,,,,,,,
What are collections and Api  used in Collections,,,,,,,
What are oops,,,,,,,
What is Seralization in Java,,,,,,,
Difference between Array List and Linked List,,,,,,,
What is a component,,,,,,,
What is responsive UI,,,,,,,
What is single Page Application,,,,,,,
Program to sort the repetitive integers ,,,,,,,
What is your favourite Subject,,,,,,,
Tell me about your Family.,,,,,,,
Find out missing number in a array of integer(1 to 100),,,,,,,
Find out the duplicate number from the array of integers.,,,,,,,
Difference between @Bean and @Document.,,,,,,,
What dependencies have you used in your project? ,,,,,,,
Some other questions related to backend and frontend.,,,,,,,
Introduce yourself ,,,,,,,
How will you rate yourself in Java,,,,,,,
Program to find out the missing number from 1…100,,,,,,,
Explain your project,,,,,,,
Which all microservices you worked on ,,,,,,,
How microservices communicate with each other ,,,,,,,
Have you implemented any discovery server?,,,,,,,
"Any Api gateway you used, have you implemented circuit breaker",,,,,,,
What is the main use of eureka server ,,,,,,,
i was asked to introduce myself ,,,,,,,
what are your hobbies,,,,,,,
explain about the projects that i have done,,,,,,,
later they asked how do i rate each of my skills on a scale of five,,,,,,,
"then they asked to write code in for reverse of a string, also asked to do reverse of a string for ""i am ajay"" to ""ajay am i""",,,,,,,
"as i have mentioned about rabbitmq, prometheus and grafana they have asked about those",,,,,,,
"they have asked a logical problem ""you will be given a 8 liter jug full of water and two empty jugs of 5 and 3 liter's at the end  you should have a jug with 4 liters in a jug""",,,,,,,
How do you delete a row in a table ,,,,,,,
difference between delete and truncate,,,,,,,
Delete in sql,,,,,,,
They asked to introduce yourself,,,,,,,
About hobbies,,,,,,,
About final year project,,,,,,,
Basic question on java,,,,,,,
Polymorphism,,,,,,,
Inserting an element in arrays and  and try to display in required format which he says.,,,,,,,
"8 litres water in 8 litres jar, how will u split water in b/w 5 ,3,8 litres jars and one should have 4l ",,,,,,,
They showed me 1 diagram and said to solve that puzzle,,,,,,,
Sql ,,,,,,,
Joins ,,,,,,,
How many joins,,,,,,,
Truncate,,,,,,,
Self introduction,,,,,,,
Explain Project done in btech,,,,,,,
Joins n types of joins,,,,,,,
Venn diagram of joins,,,,,,,
Queries on joins ,,,,,,,
"Palindrome prgm,oops concept(definitions)",,,,,,,
Puzzle :how can you cut a cake for 8pieces(only 3cuts) ,,,,,,,
"Stressed on night shifts,",,,,,,,
"Hobbies, strengths ,role",,,,,,,
Choose topic on own n speak for minute,,,,,,,
In Cn-7layers of protocol,,,,,,,
In html Wat is port no for http,,,,,,,
"1.What is jdbc., explain one program",,,,,,,
2.What is thread lift cycle and one example program using different methods,,,,,,,
3.Find maximum salary of the employee,,,,,,,
4.Find minimum salary of the employee,,,,,,,
"5.What is method overloading & method overriding., programs and their differences",,,,,,,
What is the difference between the QA and software testing?,,,,,,,
What is Testware?,,,,,,,
What is the difference between build and release?,,,,,,,
What are the automation challenges that SQA(Software Quality Assurance) team faces while testing?,,,,,,,
What is bug leakage and bug release?,,,,,,,
What is data driven testing?,,,,,,,
Explain the steps for Bug Cycle?,,,,,,,
What does the test strategy include?,,,,,,,
Mention the different types of software testing?,,,,,,,
What is branch testing and what is boundary testing?,,,,,,,
What are the contents of test plans and test cases?,,,,,,,
What is Agile testing and what is the importance of Agile testing?,,,,,,,
What is Test case?,,,,,,,
What is the strategy for Automation Test Plan?,,,,,,,
What is quality audit?,,,,,,,
What are the tools used by a tester while testing?,,,,,,,
What is array?,,,,,,,
Tell me about yourself?,,,,,,,
"What is JVM,and uses?",,,,,,,
What is inheritance?,,,,,,,
What is polymorphism?,,,,,,,
What are data types?,,,,,,,
How you rate yourself on java?,,,,,,,
What is object and class?,,,,,,,
Tell me about your project?,,,,,,,
Introduce myself and explain about my project.,,,,,,,
Program to find a number is prime or not ,,,,,,,
Program to find length of string without using predefined method.,,,,,,,
"Given 2 empty jugs , one is 3lit and other 5lit capacity and provided with unlimited water. We can add or remove water from both the jugs  but outcome should be 4lit.",,,,,,,
I have answered all 3 questions.,,,,,,,
1.write a string reverse program and should display every word first letter should be in capital,,,,,,,
2.write a query to display second highest salary in employee table,,,,,,,
3.puzzle based question,,,,,,,
1.write a string reverse program and should display every word first letter should be in capital,,,,,,,
2.write a query to display second highest salary in employee table,,,,,,,
3.puzzle based question,,,,,,,
Tell me about your self ,,,,,,,
"OSI model, layers",,,,,,,
"What is HTTP,HTTPS",,,,,,,
What is DNS ,,,,,,,
What is server,,,,,,,
Primary key,,,,,,,
Index ,,,,,,,
"Ddl,dml statements",,,,,,,
"Queries to create a table,database",,,,,,,
What's a database,,,,,,,
How to overcome difficult situation,,,,,,,
What are your career plans,,,,,,,
What are your future plans,,,,,,,
Tell me about your self ,,,,,,,
About the project ,,,,,,,
What is network ,,,,,,,
What is internet,,,,,,,
What is router,,,,,,,
What is is os,,,,,,,
If hr will give two projects   to you what will you do  ,,,,,,,
What is primary key ,,,,,,,
What happen  backened  in browser when we search the something ,,,,,,,
Write query retrieve employee details,,,,,,,
What are the statements,,,,,,,
What is my sql ,,,,,,,
What is database ,,,,,,,
How to rename the table ,,,,,,,
2.Questions related to final project.,,,,,,,
3.How to came to the conclusion of architecture.,,,,,,,
4.Tell the complete flow of the project.,,,,,,,
Why 2 databases you used.,,,,,,,
Why mysql and not mongodb,,,,,,,
Which microsevices you usee and why.,,,,,,,
Questions related to java.,,,,,,,
Explain OOPS in detail.,,,,,,,
Write syntax of inheritance.,,,,,,,
Wite a program to sort array of integer.,,,,,,,
Write a program to reverse a list.,,,,,,,
One program related to linked list.,,,,,,,
Write a query to print 2nd largest salary.,,,,,,,
Write a query using Joins.,,,,,,,
Explain each join.,,,,,,,
Questions related to Spring boot.,,,,,,,
Write a HTML code and check on browser.,,,,,,,
How can we hide one column of the same page in 2nd column using CSS .,,,,,,,
Explain Data structure.,,,,,,,
Introduction,,,,,,,
#NAME?,,,,,,,
-Give real Coding example to use the 4 pillars of oops.,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
"-then they made some changes to the code I coded,",,,,,,,
"And asked what will be the output.(By changing some public method to static, and ",,,,,,,
Then changing some variable to static).,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
-difference between equals() and ==,,,,,,,
#NAME?,,,,,,,
-after that they asked questions like:,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
"what if we throw an exception from catch block, where it would be catched again.",,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
Difference between c and c++.,,,,,,,
What are pointers in c?,,,,,,,
(0)3. Why java is used more than c++ ? ,,,,,,,
How to allocate a memory ?,,,,,,,
(0)5. How to remove a memory ?,,,,,,,
What is structure of java ?,,,,,,,
Draw a structure of java.,,,,,,,
What is access specifiers ?,,,,,,,
Difference between private and protected ?,,,,,,,
Default for specifiers for a class.,,,,,,,
(0)11. Define hierarchy of exception.,,,,,,,
Define annotations.,,,,,,,
What is dml and ddl ?,,,,,,,
14 How to change column of a table ?,,,,,,,
15 How to change value of a created table.?,,,,,,,
16 What are the types of data types in sql ?,,,,,,,
17. What is configure annotation ?,,,,,,,
What is docker ?,,,,,,,
How to create a docker image ?,,,,,,,
What is a binary search ?,,,,,,,
Write a program for finding maximum element in an array .,,,,,,,
Tell me about yourself?,,,,,,,
2>what is oops ?,,,,,,,
3>what is class?,,,,,,,
4>what is object?,,,,,,,
5>what is polymorphism and it's types?,,,,,,,
"6>2,1,1/2,1/4,?",,,,,,,
7>what is virtual keyword in c++,,,,,,,
8>what was your college project?,,,,,,,
10>tell me your strengths and weaknesses?,,,,,,,
11>do you know about our company ibs?,,,,,,,
12>what is abtract classes?,,,,,,,
13>what life cycle of project?,,,,,,,
14>methodologies used in building your projects?,,,,,,,
15>what is i++ and ++i;,,,,,,,
16>difference between continue;and break;?,,,,,,,
17>write a program print the number from 1 to 100 and assign it to list and sort it?,,,,,,,
18>write a progam to swap two values without using 3rd variable?,,,,,,,
19>what is trigger?,,,,,,,
20>what is the grabage collector in c#?,,,,,,,
Tell me about yourself ?,,,,,,,
Role in major Project ?,,,,,,,
Applications used in the project.,,,,,,,
Java problems on abstraction.,,,,,,,
What is a foreign key?,,,,,,,
What is the primary key?,,,,,,,
What is Jit?,,,,,,,
SQL query on the primary and foreign keys.,,,,,,,
Explain hobby script writing.,,,,,,,
Explain how traveling is a hobby?,,,,,,,
What will you do if you receive unsatisfactory mail from client after joining.,,,,,,,
1.Ternary operator,,,,,,,
2.Garbage Collections(didn't answer exactly),,,,,,,
3.What is Spring boot,,,,,,,
4.Switch Case,,,,,,,
